Date,1. open,2. high,3. low,4. close,Volume
2023-11-27,2063.13000000,2072.00000000,1985.72000000,2027.47000000,125768.15951531
2023-11-26,2084.00000000,2095.16000000,2037.80000000,2063.09000000,57167.26389410
2023-11-25,2082.74000000,2091.72000000,2067.11000000,2084.02000000,32637.81834342
2023-11-24,2062.51000000,2134.16000000,2059.70000000,2082.61000000,127130.60165110
2023-11-23,2063.95000000,2089.18000000,2040.23000000,2062.78000000,84629.71524463
2023-11-22,1933.52000000,2092.66000000,1929.26000000,2063.94000000,146760.11982970
2023-11-21,2022.56000000,2035.77000000,1930.86000000,1933.45000000,136174.20007133
2023-11-20,2012.68000000,2067.79000000,1993.59000000,2022.55000000,146484.68418925
2023-11-19,1963.75000000,2016.60000000,1944.65000000,2012.29000000,55072.30287312
2023-11-18,1961.53000000,1972.38000000,1917.96000000,1963.76000000,45737.12941532
2023-11-17,1961.66000000,1991.25000000,1906.15000000,1961.57000000,125667.83736351
2023-11-16,2059.46000000,2100.00000000,1909.37000000,1961.76000000,178044.63341731
2023-11-15,1979.45000000,2063.58000000,1967.19000000,2059.38000000,152595.88274792
2023-11-14,2054.31000000,2065.48000000,1933.00000000,1979.61000000,136319.67022450
2023-11-13,2046.06000000,2118.65000000,2029.28000000,2053.99000000,144429.20318696
2023-11-12,2053.94000000,2066.93000000,2013.50000000,2046.06000000,50912.23589705
2023-11-11,2078.57000000,2091.61000000,2032.14000000,2053.83000000,84815.43690608
2023-11-10,2120.88000000,2136.53000000,2066.00000000,2078.57000000,148151.59153680
2023-11-09,1888.86000000,2131.91000000,1882.84000000,2121.30000000,290571.52840203
2023-11-08,1885.93000000,1905.30000000,1873.55000000,1888.84000000,74827.09163576
2023-11-07,1901.67000000,1908.07000000,1851.01000000,1885.93000000,122337.33944691
2023-11-06,1893.13000000,1916.13000000,1870.64000000,1901.68000000,97625.94820106
2023-11-05,1857.17000000,1913.57000000,1847.46000000,1893.16000000,82496.39953529
2023-11-04,1833.64000000,1870.32000000,1825.11000000,1857.23000000,38916.34595206
2023-11-03,1801.31000000,1836.16000000,1777.00000000,1833.76000000,79637.24133670
2023-11-02,1847.74000000,1875.00000000,1785.03000000,1801.31000000,110389.55551632
2023-11-01,1815.14000000,1859.00000000,1783.48000000,1847.74000000,139857.49667144
2023-10-31,1809.67000000,1820.00000000,1781.62000000,1815.14000000,80270.49772666
2023-10-30,1795.63000000,1830.64000000,1778.24000000,1809.69000000,80444.07174014
2023-10-29,1776.48000000,1811.68000000,1763.25000000,1795.74000000,48201.56051951
2023-10-28,1779.78000000,1803.48000000,1770.80000000,1776.48000000,34085.17268661
2023-10-27,1803.56000000,1804.29000000,1745.05000000,1779.81000000,90425.04228072
2023-10-26,1787.58000000,1865.86000000,1762.67000000,1803.57000000,162066.45814023
2023-10-25,1785.06000000,1818.29000000,1760.20000000,1787.58000000,126450.29864930
2023-10-24,1766.24000000,1854.62000000,1725.79000000,1785.28000000,261859.90084142
2023-10-23,1664.43000000,1799.55000000,1657.95000000,1766.27000000,191320.15916936
2023-10-22,1629.37000000,1668.28000000,1622.36000000,1664.43000000,64860.76692140
2023-10-21,1604.94000000,1644.77000000,1593.06000000,1629.38000000,63605.34688817
2023-10-20,1567.50000000,1632.11000000,1562.00000000,1604.96000000,110280.40281731
2023-10-19,1563.66000000,1576.25000000,1542.36000000,1567.48000000,59230.76611412
2023-10-18,1565.25000000,1586.27000000,1556.01000000,1563.67000000,57059.23546765
2023-10-17,1600.03000000,1601.44000000,1552.74000000,1565.24000000,63796.87989577
2023-10-16,1558.01000000,1641.41000000,1555.20000000,1600.02000000,140896.46861986
2023-10-15,1554.98000000,1566.92000000,1548.30000000,1558.01000000,28564.73003903
2023-10-14,1552.03000000,1561.53000000,1544.65000000,1554.87000000,20369.55429181
2023-10-13,1539.26000000,1574.66000000,1537.31000000,1552.04000000,63935.58299379
2023-10-12,1566.45000000,1568.05000000,1520.85000000,1539.25000000,68485.99935697
2023-10-11,1567.63000000,1578.53000000,1545.50000000,1566.46000000,79781.25310923
2023-10-10,1580.13000000,1595.15000000,1550.18000000,1567.63000000,79103.82961904
2023-10-09,1633.77000000,1636.51000000,1548.22000000,1580.13000000,102399.55980653
2023-10-08,1634.64000000,1642.33000000,1617.31000000,1633.78000000,38081.14823402
2023-10-07,1645.90000000,1648.70000000,1631.01000000,1634.65000000,27241.91429218
2023-10-06,1611.83000000,1662.23000000,1611.78000000,1645.95000000,71144.41944879
2023-10-05,1646.58000000,1655.28000000,1608.00000000,1611.63000000,88002.97784141
2023-10-04,1656.91000000,1657.91000000,1626.01000000,1646.58000000,80420.09102569
2023-10-03,1662.62000000,1670.61000000,1643.56000000,1656.91000000,75294.23778427
2023-10-02,1733.42000000,1743.84000000,1637.82000000,1662.62000000,158288.87222448
2023-10-01,1670.84000000,1755.20000000,1668.51000000,1733.40000000,75393.93444956
2023-09-30,1667.20000000,1694.25000000,1665.98000000,1670.84000000,52608.92316992
2023-09-29,1652.94000000,1688.16000000,1648.33000000,1667.21000000,96959.81985572
2023-09-28,1597.65000000,1668.55000000,1596.93000000,1652.94000000,136755.38213349
2023-09-27,1593.00000000,1632.94000000,1582.38000000,1597.65000000,80254.44654630
2023-09-26,1587.75000000,1598.84000000,1579.47000000,1593.00000000,49000.89806179
2023-09-25,1580.59000000,1597.12000000,1563.00000000,1587.75000000,62583.93066252
2023-09-24,1593.84000000,1600.89000000,1570.35000000,1580.64000000,32773.52822928
2023-09-23,1593.04000000,1598.19000000,1587.97000000,1593.85000000,17727.34147545
2023-09-22,1583.86000000,1602.43000000,1576.52000000,1593.03000000,49010.24393275
2023-09-21,1622.26000000,1625.23000000,1567.81000000,1583.86000000,70280.57355242
2023-09-20,1643.41000000,1649.57000000,1604.91000000,1622.27000000,69413.64809618
2023-09-19,1636.93000000,1661.05000000,1626.77000000,1643.42000000,53665.43418420
2023-09-18,1622.93000000,1669.43000000,1603.55000000,1636.94000000,82672.75437174
